PRODUCT_CATEGORY,RATING,LABEL,REVIEW_TEXT,SOURCE,TEXT_LENGTH,SENTIMENT_POLARITY,RATIO_REPEATING_WORDS,IMPORTANT_WORDS_COUNT,STOPWORDS,FK_SCORE,CAPITALIZATION_COUNT,PUNCTUATION_COUNT
Toys_and_Games_5,4.0,F,"Bought as a gift.  We have had the wooden trains for a few months now and this one is a favorite.  The plastic trains are very sturdy, and the wood is very sturdy.  The wooden train is a good",AMAZON,39,0.19999999999999998,0.2,1,24,2.4,4,4
Kindle_Store_5,5.0,F,21Books and Jackie Ivie just go to the beginning and you know it's going to be a great read.  Great job!I liked this book but the writing was a bit slow. The story was a little rushed.  I would have liked to see more of the characters in the book.,AMAZON,50,0.4017857142857143,0.1590909090909091,2,27,3.4,7,6
Tools_and_Home_Improvement_5,5.0,F,Very sturdy and well made.  I love the look and feel of this lamp.  I'm very pleased with the finish and,AMAZON,21,0.45,0.16666666666666666,1,12,0.1,3,3
Home_and_Kitchen_5,5.0,F,"Very easy to use, very easy to clean. Easy to clean. Cleaning is easy.",AMAZON,14,0.45444444444444443,0.3,0,6,-0.9,3,4
Pet_Supplies_5,2.0,F,The ends of this get ripped off and the dogs try to jump on it. I have one dog,AMAZON,19,0.0,0.05555555555555555,0,11,-0.2,2,1
Tools_and_Home_Improvement_5,5.0,F,"Throws a lot of light. really bright and the light is very bright. The only downside is that it's very dimmable, which is annoying if you're not careful.",AMAZON,28,0.23250000000000004,0.13636363636363635,1,17,3.4,2,6
Tools_and_Home_Improvement_5,4.0,F,"These work fine for me.

Overall, I'm happy with these bulbs.  They work well and the extra light output is very nice.  I also like the fact that the bulb is made of plastic.  It's not waterproof so it will be hard to hold on to.

I received these bulbs as a gift and they are in great shape and look great.These are great. I just installed them with the wire stripper and they work great. It's very easy to install and works great",AMAZON,84,0.4890277777777778,0.16666666666666666,3,47,1.0,10,12
Pet_Supplies_5,5.0,F,fits perfectly fast shipping and easy to assemble.  The two large bowls are just the right size to,AMAZON,18,0.2833333333333333,0.11764705882352941,0,7,3.3,1,1
Kindle_Store_5,5.0,F,"Grabbed this book and am now a part of the third book in the series. I am looking forward to reading the next one.

*I received a copy of this book",AMAZON,31,0.0,0.21428571428571427,0,17,2.6,3,3
Movies_and_TV_5,4.0,F,great  movie arrived in time to be the best in the history of this great movie!  The,AMAZON,17,0.9333333333333332,0.1875,2,9,5.2,1,1
Pet_Supplies_5,1.0,F,"Product not any thing like this. The only reason I gave it 4 stars is because the one we bought from the vet said it was ""too small"" and ""too big"". This is a small toy and the vet says it will last a few years.",AMAZON,46,-0.11666666666666665,0.15,1,27,3.4,4,7
Toys_and_Games_5,5.0,F,Perfect for my 18mo old. She loves the wooden trains. She also loves the music and the lights.,AMAZON,18,0.3666666666666667,0.2,0,8,2.1,3,3
Kindle_Store_5,5.0,F,"I am enjoying the series and will continue with the series.

If you have been following the series and have not read the previous books in the series you",AMAZON,29,0.11111111111111112,0.17857142857142858,0,19,6.6,2,1
Books_5,5.0,F,"I've been enjoying this book for a long time and I've read it several times. I'm a big fan of the Dresden Files, but this is the first time I've read it that I've had to reread it",AMAZON,38,0.13999999999999999,0.1935483870967742,0,23,4.8,7,7
Home_and_Kitchen_5,4.0,F,"This is a a very nice set and the price is good.  I have a few of the other two sets that I bought, but they are the ones that I have purchased for myself.  I have been in the market for a set for years and this is the one for me.  It is a good size and very durable.  I am very happy with this purchase.I just bought a new Amazon Prime Prime membership for my 6 year old daughter.  She loves it!  I love it!  It has a magnet, which is great, and is easy to use.",AMAZON,100,0.4312247474747475,0.14772727272727273,2,66,1.7,14,12
Electronics_5,4.0,F,"I use this at a time when I am running a few thousand miles, and I am not using a GPS.  The GPS is a bit of a pain to use, and it does not have a dedicated GPS in the camera.  I wish it had an option to provide a dedicated GPS.  I have also tried it with a Garmin phone and it does not work.  I wish I could buy a GPS app for it, but I",AMAZON,79,-0.2,0.18055555555555555,0,50,4.7,25,7
Home_and_Kitchen_5,5.0,F,Very nice and sturdy. I use it as a long-term storage container for my small bags of,AMAZON,17,0.265,0.0,0,9,1.9,2,2
Pet_Supplies_5,5.0,F,Both dogs loved it!!  We have 3 dogs and they all love it!  I have one,AMAZON,16,0.8125,0.14285714285714285,1,10,-1.8,3,3
Clothing_Shoes_and_Jewelry_5,4.0,F,My husband loves these for the price and the fit. He says they are very comfortable and he doesn,AMAZON,19,0.46,0.16666666666666666,0,13,2.3,2,1
Pet_Supplies_5,1.0,F,Got this at the beginning of the day.  We've had it for a couple of weeks now and it's working great. ,AMAZON,21,0.8,0.11764705882352941,0,14,2.7,2,4
Pet_Supplies_5,2.0,F,"I have a female golden, and she is an aggressive chewer.  This is the only one I will feed her.  I will also give her the Tylenol",AMAZON,27,0.09999999999999999,0.16666666666666666,0,18,3.3,5,3
Toys_and_Games_5,5.0,F,Very simple game for toddlers.  Easy to learn and fun for adults.My son loves this!,AMAZON,15,0.10208333333333333,0.08333333333333333,0,6,-0.8,3,3
Tools_and_Home_Improvement_5,4.0,F,"Good Blade. It did dull a little, but it is good enough to make a difference.

I would not recommend this knife, unless you're a professional, so you should not buy it.

Update:

I was able to get it to sharpen very quickly with no problems. I have used it for over a year and it has become a quality knife. I have had it for about a month now and it still works great. It's very easy to sharpen. I would highly recommend this knife.I've owned these for about",AMAZON,90,0.31613636363636366,0.18421052631578946,3,54,3.0,11,15
Clothing_Shoes_and_Jewelry_5,5.0,F,"I love the color orange and it's a very comfortable fit.  I have a wide foot and a wide foot bed and I am a 32D, so I'm a bit large but it's a little snug in the heel.  I wish it was a bit wider in the toe box.  I have a wide foot and I can wear the ankle high boots so I'm not going to be getting any complaints from others.  The color is very vibrant",AMAZON,79,0.15234523809523806,0.17142857142857143,1,46,4.7,10,9
Movies_and_TV_5,3.0,F,"Watched this twice in one weekend. The first time I was in London, I saw this one. It's not the best movie, but it is the best one. The only other movie I have watched in the last 30 years is this one. This one is still the best. I love it. I have to say it's a great movie. If you haven't seen it",AMAZON,65,0.49166666666666664,0.18867924528301888,2,38,0.5,12,12
Toys_and_Games_5,5.0,F,"We got this dollhouse for my grand daughter.  She loved it.  It's been a great addition to her collection.  She loves to play with her dolls.  She's been taking it out and putting it back in.  I wish it had a little more furniture for the little ones to play with.  I also wish the plastic was a little more solid.  I wish there were more lights and sounds.  The only reason I gave it 5 stars is because it's very small.  You'd think it would be too small for our little ones to play with.  The dollhouse is definitely bigger than I expected it to be.  It's also made of wood that is easier to store.  I'm not sure if the wood is going to be durable, but it's sturdy enough to keep my grand daughter entertained for a long time.  I don't know if the wood is going to last as long as I thought it would, but it's definitely made of wood that will last for years to come.  I'll update this review when I find more wood for my daughter's collection.My nephew was very happy with this.  He loved it!  He loves it!  He's about 7 months old and loves playing with it!Very nice gift for a nephew who loves this toy.  He was thrilled to receive it.",AMAZON,222,0.19435483870967737,0.21390374331550802,1,128,2.7,25,35
Kindle_Store_5,5.0,F,~I received a free copy of this book in exchange for an honest review.This was a great read.  I had a lot of fun with the characters and the storyline.  This is a good book to read in a short time.This was a very good story. The characters were well developed. I liked the story and the storyline. I hope it continues to be a great series.This was a very good book. I love the characters. I loved the way the story went on. I loved the ending. I loved the way the author ended it. I just couldn't get into it. It was like reading a fairy tale. I can't wait to read the next book.This book was well written and I enjoyed the characters. I didn't like how it was a little short and the story ended abruptly. I hope the next book is a little longer. I don't really know what to expect but I will definitely recommend this book to anyone. I received a free copy of this book in exchange for an honest review.This was a good book. The plot was good,AMAZON,187,0.4042857142857142,0.2125,11,97,2.9,25,27
Toys_and_Games_5,5.0,F,I bought these for my son's 3rd birthday party.  He loves them!  They are,AMAZON,14,0.0,0.0,0,8,0.1,3,3
Pet_Supplies_5,2.0,F,"Despite great efforts on our part to make the dogs comfortable, it's important to keep the dog's hair from falling out of the hood.  The dog is tall and is very active.  The hood is not overly stiff so it stays on well.  The dog has had no issues wearing it.  I highly recommend it.I had to return it because the product was bad. I was getting a",AMAZON,68,0.09605442176870752,0.15254237288135594,1,37,3.5,7,9
Sports_and_Outdoors_5,5.0,F,"I like this multi-pack as it has the wide opening for two full packs of water. I just use a pair of the open front ones.  The open front one is great for storing water or food.  It has a large storage capacity.  I like the two large pockets for the pockets.  I also like the fact that the compartment is made of several different pockets.  I like the fact that the compartment is made of an adjustable strap.  It's very easy to open and close the compartment.

The included pockets are nice and easy to store.  There's a small pouch that is a good size for water, but it's not big enough to hold a full bladder.  There's a small small pouch for air, but it's not huge enough to hold a full bladder.  It's very small for a small tent.

The tent is very spacious.  It has a wide opening for water.  There are two other compartments that can hold water.  The other compartment is just a smaller one that has a narrower opening that can be used for cooking.  The zipper is a nice feature that keeps the water out of the zipper. ",AMAZON,196,0.10968509984639017,0.2235294117647059,6,101,4.2,17,26
Movies_and_TV_5,4.0,F,"Disclosure:  I'm a John Waters fan and the movie is a great deal for him.  If you like John Waters, you will like this",AMAZON,24,0.8,0.2,3,13,3.3,7,4
Tools_and_Home_Improvement_5,5.0,F,"This was the best deal I have ever paid.  I will be purchasing more!Very nice.I bought this to replace the Schlage 32-60-8 bulb that I replaced with this one.  It works great, and the size is perfect.  I used it for the kitchen and kitchen tables.  I did have to replace the bulb on the kitchen countertop",AMAZON,57,0.9333333333333332,0.20408163265306123,0,33,2.3,10,9
Books_5,4.0,F,"This is the 2nd in a series, and the third is a book that I read through one day. I had to read it before going to bed and I'm sure it's been worth it. It's a very good read. This is one of those books that should be read by every family member. I read it several years ago and it is a classic. I will read it again. I have read all of her books and enjoyed all of them. This one is not for the faint of heart, but for the most experienced readers. This book was just ok. I had read the book several times and was happy to read it. It is a fun story and I would recommend this book to any family. I would recommend this book to anyone who likes a good story.",AMAZON,141,0.34229166666666666,0.1774193548387097,2,86,3.2,15,17
Electronics_5,5.0,F,"Our new LG 42LV5400 is a real steal. The included lens hood is a must have for anyone looking for a new lens hood, and the video quality is crystal clear. The kit lens hood is great for anyone looking for a good size for the price. If you have a small camera or DSLR, the kit lens hood is a must have. With this lens hood, you can buy all of the features of the kit lens hood with a fraction of the price of the kit lens hood. If you want to know if this lens hood is worth the extra money, it's a good buy. The kit lens hood is great for anyone looking for a good size for the price. If you don't need to buy the kit lens hood, it's a good buy.",AMAZON,138,0.38636363636363635,0.18032786885245902,7,67,4.1,16,16
Pet_Supplies_5,3.0,F,"I'm sure these work well, but it's not as comfortable for my puppy as it would be for",AMAZON,18,0.45,0.13333333333333333,0,12,5.6,1,3
Kindle_Store_5,5.0,F,"the digital version for kindle, but I thought it was good enough.

The story has a lot of",AMAZON,18,0.2333333333333333,0.0625,1,10,3.3,2,2
Pet_Supplies_5,5.0,F,Perfect!!! This crate is the perfect size and quality for my two dogs.  They both love the extra,AMAZON,18,0.625,0.0625,2,9,3.3,3,4
Sports_and_Outdoors_5,2.0,F,"<div id=""video-block-R3MACS6WP225SQ"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon.",AMAZON,10,-0.16666666666666666,0.0,0,0,36.7,9,37
Books_5,5.0,F,"This trilogy is one of the best I've read in a long time, and I'm just starting to get into the series. The characters are complex, and the plots are very interesting.",AMAZON,32,0.25999999999999995,0.11538461538461539,0,19,6.0,4,6
Kindle_Store_5,5.0,F,"This is a fun read, and it kept me engaged. I will definitely be reading the next one. I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would highly recommend this book. This was an excellent read. The characters were strong, likable, and the story line was great. I would recommend this book to all my friends.",AMAZON,70,0.2994444444444444,0.1694915254237288,0,36,3.2,8,11
Movies_and_TV_5,4.0,F,This is a great family movie. The story is very good and the characters are very believable.,AMAZON,17,0.7866666666666666,0.2,2,10,4.2,2,2
Pet_Supplies_5,5.0,F,Can't go wrong with Lucky.  The only problem is that it's kind of hard to put on.  I had to replace the bowls and then the plastic part.  I used this to put my dog's food on the floor.,AMAZON,39,0.02833333333333332,0.125,0,22,1.2,5,7
Tools_and_Home_Improvement_5,4.0,F,Good value for the money.It's a very good flashlight.  I have a few of these in my living room and I am using them,AMAZON,24,0.47,0.13636363636363635,2,16,2.9,4,3
Electronics_5,5.0,F,For 300 bucks this is a great lens.  I've used it for a couple of years and it's still very good.  I also bought the T1i lens and it's still good.  It's a little pricey for a lens but I don't think you can beat the price.  I also like the,AMAZON,51,0.555625,0.19047619047619047,2,28,1.4,7,9
Kindle_Store_5,5.0,F,It a very cool story.  I love the way it was written.  The characters were well,AMAZON,16,0.4775,0.14285714285714285,1,9,1.8,3,2
Clothing_Shoes_and_Jewelry_5,4.0,F,"I cycle and run and this has kept me cool. I will keep this bag in my wardrobe.I bought this for my son, who lives in the North Dakota area.  He's 5'3"" and 110lbs, and this is",AMAZON,37,0.35,0.16666666666666666,0,22,1.0,6,8
Books_5,4.0,F,"This approach to healthy eating and an easy way to make a healthy lifestyle for yourself.

While I agree with the premise of the book, I have to say that it is not that easy.  It takes a lot of patience, especially for a teenager",AMAZON,45,0.37333333333333335,0.21951219512195122,0,27,4.4,5,4
Movies_and_TV_5,4.0,F,"Riding high on the success of his first movie, ""Two Towers"", director Charles Bronson has crafted a film that seems to defy logic.  The basic premise of the film is that a young man is kidnapped by a group of drug dealers.  This young man is attacked and eventually killed by a group of drug dealers.  A young man discovers the kidnapped man and is convinced that he is the killer.  The young man's story is told in an unforgettable way, and the film is highly effective.  The film is set in the early 60s, and the action scenes are great",AMAZON,101,0.23642857142857146,0.15555555555555556,1,46,6.3,10,12
Pet_Supplies_5,2.0,F,These were ok and our dog loves them.We have two dogs and they have been eating them.  They have had a lot of health issues and have improved their coat.  This is a good product and we will buy it again.This is the second litter box we've purchased for our cats. ,AMAZON,51,0.39999999999999997,0.13333333333333333,1,30,1.4,5,6
Kindle_Store_5,4.0,F,"One of the Caliber women, Juliette, has decided that she wants to go to college and is determined to get the best possible education.  She is not sure if she should go to college or stay in college.  She has been thinking",AMAZON,42,0.2375,0.18421052631578946,0,23,6.4,5,4
Electronics_5,5.0,F,"It works great to keep my phone safe. I've also used this for a few hours. I had to replace a broken cord in the cable, so it should work fine.",AMAZON,31,0.22333333333333333,0.11538461538461539,1,17,1.4,3,5
Kindle_Store_5,3.0,F,"Though published in 2016, this book has been an instant hit for me.

The premise of the story is simple enough, but the characters are complex enough to keep you interested in the story. The author has been in the business of writing about paranormal occurrences and this book gives you the basics of the subject matter to read and understand. The story is told from the perspective of a young woman who is facing a difficult decision to become a witch.",AMAZON,82,-0.06851851851851852,0.17105263157894737,0,44,8.9,4,6
Sports_and_Outdoors_5,4.0,F,"The Bondi head bands are a little too wide and tight for my liking, but I like them.I bought this for a friend",AMAZON,23,-0.15535714285714286,0.09523809523809523,1,12,3.1,4,2
Movies_and_TV_5,2.0,F,"more of an action movie, but the movie is a good one.

The movie has a",AMAZON,16,0.4333333333333333,0.21428571428571427,1,10,0.5,1,2
Electronics_5,4.0,F,"This waterproof bag is easy to carry and the materials are thick enough to make it comfortable to carry. I had to replace a couple of the plastic plastic bags in the case as they were not well protected. If you're thinking about going with this bag, you should definitely consider a 2 pack with a 2-5 pack or a 3 pack with a 3 pack. Overall, I would not buy this bag again. It works great.",AMAZON,77,0.1904761904761905,0.17647058823529413,0,40,5.8,6,9
Clothing_Shoes_and_Jewelry_5,4.0,F,"Top is super sexy and looks great, the materials are thick enough to make it comfortable to wear. I bought this for my son, he loves it! He wears it often and it's comfortable. It's not a waterproof boot, it's a mesh boot. I ordered a full size up.",AMAZON,49,0.34259259259259256,0.15789473684210525,0,25,2.4,5,11
Electronics_5,4.0,F,"I just got this today and it works fine.  I will keep my review in order to share my experiences.  The only thing I can say is that it does take a little getting used to.  It does not work for me.  I have to turn it on for the wifi to work.  I will keep it on and use it on my laptop as well.  I just wish it was a little longer and more durable.I have a camera in my home that uses a lot of memory. I use it every day, and it is a great little device. It has a nice LED indicator that shows you where it is in use. It has a lot of information on it, and it has a small rubber case that I can use to",AMAZON,135,0.16712962962962966,0.18699186991869918,1,86,3.4,16,12
Electronics_5,4.0,F,"I bought this  LG TV for my son's third generation Macbook Pro. I was just blown away by the picture quality. The colors and clarity were amazing, the picture was clear and vivid. I can't imagine a",AMAZON,37,0.20625000000000002,0.16129032258064516,0,17,4.6,10,6
Tools_and_Home_Improvement_5,5.0,F,"I own quite a few of these and they work just fine.  These work well and the extra light is great.  I am using them in the kitchen, in a shed, in a closet, in the hallway, in a bedside table, and in my back yard. ",AMAZON,46,0.28809523809523807,0.18421052631578946,0,29,3.4,3,8
Books_5,4.0,F,"A very interesting approach to reading an academic work.  I will admit that I have been a bit distracted by the subject matter.  I have not had a chance to read it, but it was well worth the effort",AMAZON,39,0.19583333333333336,0.1388888888888889,0,24,4.8,4,3
Tools_and_Home_Improvement_5,5.0,F,Easy to install on gutters and has the right tools.works great.Nice little light.  Works as advertised.  The plastic parts are solid and the light is pretty sturdy.,AMAZON,27,0.22593537414965986,0.09090909090909091,0,11,3.6,4,5
Books_5,4.0,F,"if you like noir fiction, this book is for you. I will admit that I read this one twice. If you are a fan of both books, this is a must read. I enjoyed this book. It was a little slow for me. I don't know how I would rate a book without a lot of detail, but I did enjoy it.",AMAZON,62,0.103125,0.17307692307692307,1,38,1.4,8,10
Movies_and_TV_5,4.0,F,I learned a lot about this movie and the movie itself.  I also learned about the actors.,AMAZON,17,0.0,0.3333333333333333,0,10,1.9,2,2
Clothing_Shoes_and_Jewelry_5,4.0,F,"I've been wearing these boots for a couple years now and I'm still happy with the boots. They're so comfortable and the fit is perfect. The only complaint I have is that the boot is a little tight on my feet so I have to wear a size 4 to get them to fit. They're great shoes, I'm very happy with them and they are a great deal. They're just a tad narrow and I can't tell you how they feel until I wear them. Overall, I'm very pleased with the boots. I really love these boots! I have them in a size 8, and they fit like a glove! I love the way they look! I ordered a size 8, and they fit perfectly. I love the color, too. I like how they have a buckle that is a little longer than I thought, which is great. I wear a size 8, and I wear a size 10, so I thought it would be a little longer for me.",AMAZON,170,0.3677795031055901,0.1773049645390071,8,102,2.5,23,29
Toys_and_Games_5,5.0,F,This game works very well and has the pieces to make a full puzzle that is well built and functional. The game is easy to understand and is fun to play. I would definitely recommend this game to any child. Highly recommended.,AMAZON,42,0.02703703703703703,0.18421052631578946,0,20,5.2,4,4
Clothing_Shoes_and_Jewelry_5,5.0,F,Love the belt.  It looks great and the chain is very comfortable.  The only thing that is,AMAZON,17,0.455,0.13333333333333333,2,10,0.8,3,2
Electronics_5,5.0,F,"I would have to say that this is the best part of the product, just the way the speaker is placed.  The plastic part is very clear, and the cover is very sturdy.  The only complaint I have is that it seems to be",AMAZON,44,0.20599999999999996,0.2,0,29,4.3,4,4
Clothing_Shoes_and_Jewelry_5,5.0,F,These are great. They are soft and comfortable. I love them. I also like the way they look.,AMAZON,18,0.45,0.21428571428571427,2,10,0.3,4,4
Movies_and_TV_5,5.0,F,"EX-cellent; truly excellent:  well-produced, well acted. Highly recommended. Thank you!Very good.",AMAZON,11,0.62,0.0,0,2,14.7,5,9
Tools_and_Home_Improvement_5,5.0,F,"Bought this to finish up a bunch of pieces of furniture I needed to make for the bathroom. It's not the best design, but it works well and is a great value.",AMAZON,32,0.9,0.14285714285714285,1,18,4.8,3,4
Toys_and_Games_5,5.0,F,"This is the only figure that has the pieces on her back. She is a very strong figure.

I had to get a solid piece of the plastic to cover the pieces. The only thing I can do is cut a piece of paper from the bottom of the box and glue the pieces together. I ended up using glue to make the holes and then I glued",AMAZON,68,0.11266666666666666,0.171875,0,42,3.9,7,4
Books_5,4.0,F,"It is not going to be an easy read, but I will admit that it is a pretty good read.I had to read this book to get",AMAZON,27,0.4611111111111111,0.12,1,17,2.7,3,2
Clothing_Shoes_and_Jewelry_5,5.0,F,"I got this nursing bra and it was the best bra I have ever had. I am 5'6"" and the bra fit perfectly. The bra is very comfortable and it is made well. The material is soft and the cups are comfortable. I would recommend this to anyone.I love these.  They are so comfortable and I can wear them all day with a little bit of extra weight.  I wear them to work all the time and they are a perfect size for me.  I have a hard time finding good nursing bras that fit me correctly.  They are a perfect size for me and I like that they do not fall out when I do not wear them for a long time.  I wear a size 10 and they fit perfectly.  I like the fact that they are a little longer than the ones I have tried on and I do not have to worry about the bra falling out after I have washed them.  They are comfortable, lightweight, and I am very happy with them.  I am planning on wearing them for a few more weeks and I am very happy with them.  I am very satisfied with the purchase.Very nice and very comfortable for all my daily wear.  I was worried that the material would stretch a little, but it is very soft.  I would recommend these if you are looking for a comfortable and flattering skirt.I like the color and the fit.  I love the drawstring.I love the way it looks and the size.  I ordered a medium, so I'm very happy.I love the style of these shoes. I got the black and it is a little big",AMAZON,282,0.375940170940171,0.16996047430830039,8,174,3.2,34,30
Home_and_Kitchen_5,2.0,F,This is not what I wanted. The quality is just what I wanted. The dimensions are just what,AMAZON,18,0.0,0.3125,1,14,2.1,5,2
Kindle_Store_5,5.0,F,Thomas hits another one out of the park with the third book in the series. I was given an ARC in exchange for an honest review.  The author is a wonderful writer and I look forward to reading,AMAZON,38,0.5333333333333333,0.1111111111111111,0,19,4.7,7,2
Clothing_Shoes_and_Jewelry_5,5.0,F,"Fits perfect. Loving it. Although it has the wide width of a full size, it's",AMAZON,15,0.4625,0.0,0,7,4.4,3,4
Clothing_Shoes_and_Jewelry_5,2.0,F,"Inconsistent sizing. I bought multiple colors. The wide width is too narrow. The waist is too long. I wish the waist was shorter, but that is the only reason I was able to return it. I would not be able to wear this one for long periods of time.Great shoe.  They fit great.  I ordered them in the same size as my regular shoes.  They are very comfortable.  I highly recommend these shoes.I love these shoes. I have been wearing them for years. I'm going to order a second pair in different colors. They are very comfortable and are very comfortable. I like that they are a little longer than my other pairs. They do fit my feet nicely and I'm not going to be wearing them for long periods of time. I would recommend these shoes to anyone.I love these shoes!  I bought the ""deep green"" in black.  I'm hoping they will last a long time.  I'm not a fan of the leather in this shoe.  I was very disappointed with the color of the shoe.  I'm returning them.  I'm very happy with the purchase.Very nice and comfortable!  Perfect fit for a summer day!I have been wearing these for years.  They are great for running.  The material is soft and breathable and they are comfortable.  They are very comfortable.  They are very cute.  I love the cute little",AMAZON,229,0.24257575757575758,0.19148936170212766,5,130,2.6,35,41
Movies_and_TV_5,1.0,F,"One almost must watch this movie. The story is very good and the characters are very believable. The acting is top notch. The story is also very well written. It is very moving and it keeps you watching. Highly recommend it.I can't imagine what this movie would have been like if it had been released on DVD. I can't imagine the level of emotion and attention to detail that would have been required to make a movie that was so poorly thought out. I think that if it had been released on DVD, it would have been much better.  I think it would have been a much better film.I really enjoyed this movie.  I have watched it over and over and",AMAZON,121,0.33818181818181825,0.21495327102803738,3,65,3.7,18,14
Toys_and_Games_5,4.0,F,a little difficult for little ones to grasp.  We've had a lot of fun with it.,AMAZON,16,-0.14375,0.15384615384615385,0,9,2.9,1,3
Books_5,5.0,F,"A very appealing main character, an easygoing, intelligent, and complex character, and a pretty good",AMAZON,15,0.37777777777777777,0.18181818181818182,1,6,12.7,1,4
Kindle_Store_5,5.0,F,Short story but very heartwarming. I love the way these two men work together.,AMAZON,14,0.2333333333333333,0.0,1,5,3.7,2,2
Tools_and_Home_Improvement_5,5.0,F,"Nice, substantial feeling faucet. Not an easy task to install but it works for my needs. Works as advertised. The plastic parts are solid and the plastic is solid. The metal part is well made and will last a long time. This faucet has a lot of power and is easy to install and it will last a long time. I've had it for about a year now and I'm happy with the performance and the price. This is a great tool for small jobs. It works well for smaller jobs. I'm not sure why I got it for this price, but it's definitely a good value. I've used this one to get around a ceiling fan on my garage. I don't know if it's the one that I've had since I was a kid, but I guess I have the right one. I have it mounted in my garage, so I have not had to replace it.",AMAZON,158,0.21577380952380953,0.17293233082706766,2,92,3.3,20,25
Kindle_Store_5,5.0,F,"I gave this book a five star rating because it was good.  There were a few typos and mistakes but the story kept me interested and entertained the whole time.  I would definitely recommend this book to anyone who enjoys a good romance.This is a good story. The characters are well developed. The story is well written and the story is very well told. The ending is satisfying and I would recommend it to anyone who enjoys a good romance.I loved this book.  It was very sweet, very emotional, and",AMAZON,90,0.3575,0.2375,3,45,4.8,10,10
Clothing_Shoes_and_Jewelry_5,2.0,F,They're kinda cheap and easy to break in. But they're a nice fit for the person who,AMAZON,17,0.45833333333333337,0.0,0,10,0.7,2,3
